Provider,Name,Fair Usage (GB),Download Speed (Mbps),Upload Speed (Mbps),Throttled Speed (Mbps),Price,Price per GB,Price per Mbps (Download),Price per Mbps (Upload)
Dhiraagu,1G,4500.0,1000,100.0,5,7409.4,1.65,7.41,74.09
Ooredoo,U1G,4500.0,1000,,5,7418.94,1.65,7.42,
ROL,200M,1600.0,200,,5,3074.0,1.92,15.37,
ROL,100M,1200.0,100,,5,2427.4,2.02,24.27,
Dhiraagu,200M,1500.0,200,75.0,5,3169.4,2.11,15.85,42.26
Ooredoo,100M,1000.0,100,,5,2171.94,2.17,21.72,
ROL,50M,800.0,50,,5,1791.4,2.24,35.83,
ROL,40M,650.0,40,,5,1473.4,2.27,36.84,
ROL,30M,550.0,30,,5,1261.4,2.29,42.05,
Dhiraagu,100M,900.0,100,50.0,5,2109.4,2.34,21.09,42.19
Ooredoo,50M,650.0,50,,5,1535.94,2.36,30.72,
Dhiraagu,50M,650.0,50,25.0,5,1579.4,2.43,31.59,63.18
Dhiraagu,50M Starter,520.0,50,25.0,5,1367.4,2.63,27.35,54.7
Ooredoo,40M,400.0,40,,5,1111.94,2.78,27.8,
ROL,25M,350.0,25,,5,1005.94,2.87,40.24,
ROL,15M,250.0,15,,5,731.4,2.93,48.76,
Dhiraagu,25M Basic,350.0,25,20.0,5,1049.4,3.0,41.98,52.47
Ooredoo,30M,210.0,30,,5,742.0,3.53,24.73,
Dhiraagu,25M Starter,200.0,25,20.0,5,731.4,3.66,29.26,36.57
ROL,25M Lite,200.0,25,,5,742.0,3.71,29.68,
Ooredoo,20M,130.0,20,,5,530.0,4.08,26.5,
Dhiraagu,15M Starter,120.0,15,15.0,5,519.4,4.33,34.63,34.63
ROL,10M,80.0,10,,5,422.94,5.29,42.29,
ROL,15M Lite,100.0,15,,5,530.0,5.3,35.33,
Ooredoo,10M,65.0,10,,5,424.0,6.52,42.4,
Dhiraagu,10M Basic,60.0,10,10.0,5,424.0,7.07,42.4,42.4
Dhiraagu,5M Starter,30.0,5,5.0,2,265.0,8.83,53.0,53.0
ROL,5M Lite,30.0,5,,2,265.0,8.83,53.0,
Ooredoo,5M,30.0,5,,2,265.0,8.83,53.0,
ROL,5M Unlimited,,5,,5,634.94,,126.99,
